P,tot_time,communication_time,computation_time,startup,img_name,px,width
64,0.152528,0.003024,0.149525,0.000686,index_down_10,28085,137
64,0.229850,0.003523,0.227229,0.000781,index_down_20,111930,273
64,0.355212,0.003920,0.352131,0.000984,index_down_30,251740,410
64,0.726972,0.005156,0.723027,0.001340,index_down_40,447174,546
64,1.176919,0.003817,1.173655,0.001518,index_down_50,699392,683
64,2.225262,0.004708,2.221449,0.002053,index_down_60,1007780,820
64,3.661109,0.005649,3.656394,0.002847,index_down_70,1370904,956
64,5.771907,0.006625,5.766120,0.003510,index_down_80,1790334,1093
64,9.094730,0.007873,9.088299,0.004411,index_down_90,2265047,1229
64,3.651570,0.009008,3.643721,0.005313,index,2797568,1366
64,4.441385,0.016130,4.428340,0.006921,index_down_110,3386259,1503